"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-jGFFOr href","sc-1hp8d8a-0","sc-1q7bklc-1","sc-jGFFOr href 2","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-jGFFOr href 3","sc-1hez2tp-0 14","sc-1hez2tp-0 15","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-1hez2tp-0 22","sc-s1isp7-5 src 18","sc-1hez2tp-0 23","sc-s1isp7-5 src 19","sc-s1isp7-5 src 21","sc-1q7bklc-1 4"
"star-fill","","star-fill","50% OFF up to 100","56 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Biryani, North Indian, Kebab, Seafood, Mughlai, Hyderabadi, Lucknowi","https://www.zomato.com/mumbai/colaba-restaurants","₹300 for one","https://www.zomato.com/mumbai/colaba-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","53 min","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Desserts, Waffle, Shake","https://www.zomato.com/mumbai/colaba-restaurants","₹300 for one","","50+ orders placed from here recently","https://www.zomato.com/mumbai/the-matka-biryani-lower-parel/order","The Matka Biryani","3.9","https://www.zomato.com/mumbai/green-dot-pizza-mohammad-ali-road/order","Green Dot Pizza","","50% OFF up to 100","https://www.zomato.com/mumbai/mahesh-lunch-home-fort/order","40 min","Seafood, North Indian, Chinese, Mangalorean, Maharashtrian, Biryani, Mughlai, Sichuan","Mahesh Lunch Home","4.0","₹300 for one","1250+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","1250+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","3.3"
"star-fill","star-fill","star-fill","50% OFF up to 100","41 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Asian, Thai, Chinese, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹300 for one","https://www.zomato.com/mumbai/colaba-restaurants","6925+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","6925+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","50 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Seafood, Mughlai, Beverages, Bengali","https://www.zomato.com/mumbai/colaba-restaurants","₹300 for one","https://www.zomato.com/mumbai/colaba-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/hot-pot-cst/order","Hot Pot","3.9","https://www.zomato.com/mumbai/oh-calcutta-tardeo/order","Oh! Calcutta","4.0","50% OFF up to 100","https://www.zomato.com/mumbai/francescos-pizzeria-kemps-corner/order","44 min","Pizza, Italian, Fast Food","Francesco's Pizzeria","4.0","₹300 for one","2625+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","850+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2625+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","38 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Mughlai, North Indian, Chinese, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","1525+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","1525+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","44 min","https://www.zomato.com/mumbai/colaba-restaurants","Mughlai, North Indian, Biryani, Chinese, Fast Food, Seafood, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","1950+ orders placed from here recently","https://www.zomato.com/mumbai/afzal-restaurant-1-cst/order","Afzal Restaurant","3.9","https://www.zomato.com/mumbai/cafe-noorani-tardeo/order","Cafe Noorani","3.9","50% OFF up to 100","https://www.zomato.com/mumbai/new-heros-chowpatty/order","37 min","Chinese, North Indian, Mughlai, Biryani, Seafood","New Heros","4.2","₹250 for one","2275+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","1950+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2275+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","40% OFF","21 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Cafe, Beverages, Desserts, Burger, Pizza","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","2275+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2275+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","43 min","https://www.zomato.com/mumbai/colaba-restaurants","Street Food, Chinese, South Indian, Maharashtrian, Desserts, Beverages, Shake","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","","1225+ orders placed from here recently","https://www.zomato.com/mumbai/third-wave-coffee-colaba/order","Third Wave Coffee","4.0","https://www.zomato.com/mumbai/udipi-krishna-byculla/order","Udipi Krishna","4.3","50% OFF up to 100","https://www.zomato.com/mumbai/m-m-chinese-mazgaon/order","42 min","Chinese, Sichuan","M.M Chinese","3.8","₹250 for one","2475+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"","star-fill","star-fill","50% OFF up to 100","44 min","star-fill","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Biryani, Chinese, Fast Food, North Indian, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","39 min","https://www.zomato.com/mumbai/colaba-restaurants","Cafe, Coffee, Beverages, Desserts, Bakery, Sandwich, Shake","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/bombay-kitchen-grant-road/order","Bombay Kitchen","","https://www.zomato.com/mumbai/slay-coffee-tardeo/order","SLAY Coffee","4.2","50% OFF up to 100","https://www.zomato.com/mumbai/delhi-darbar-express-nariman-point/order","33 min","North Indian, Mughlai, Seafood","Delhi Darbar Express","4.1","₹250 for one","750+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","750+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","3.5"
"star-fill","star-fill","star-fill","50% OFF up to 100","32 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, South Indian, Chinese, Street Food","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","4575+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","4575+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","25 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Mughlai","https://www.zomato.com/mumbai/colaba-restaurants","₹250 for one","https://www.zomato.com/mumbai/colaba-restaurants","1000+ orders placed from here recently","https://www.zomato.com/mumbai/sukh-sagar-chowpatty/order","Sukh Sagar","4.0","https://www.zomato.com/mumbai/simla-canteen-colaba/order","Simla Canteen","3.8","50% OFF up to 100","https://www.zomato.com/mumbai/foo-town-churchgate/order","40 min","Asian, Chinese, Sushi, Beverages, Desserts","Foo Town","4.2","₹250 for one","1850+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","1000+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1850+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","35 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Mughlai, North Indian","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","3550+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","3550+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","34 min","https://www.zomato.com/mumbai/colaba-restaurants","Bakery, Desserts, Beverages, Bengali, Juices, Ice Cream","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","","150+ orders placed from here recently","https://www.zomato.com/mumbai/noor-mohammadi-hotel-mohammad-ali-road/order","Noor Mohammadi Hotel","4.3","https://www.zomato.com/mumbai/the-dessert-heaven-pure-veg-fort/order","The Dessert Heaven - Pure Veg","4.1","50% OFF up to 100","https://www.zomato.com/mumbai/smoor-grant-road/order","37 min","Bakery, Desserts, Beverages","Smoor","4.3","₹100 for one","875+ orders placed from here recently","","","","","","","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","40 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","","1275+ orders placed from here recently","","Restaurant partner follows WHO protocol","","1275+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","36 min","https://www.zomato.com/mumbai/colaba-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","1875+ orders placed from here recently","https://www.zomato.com/mumbai/le-15-patisserie-breach-candy/order","Le 15 Patisserie","3.8","https://www.zomato.com/mumbai/cakisto-mohammad-ali-road/order","Cakisto","4.2","50% OFF up to 100","https://www.zomato.com/mumbai/mumbai-express-the-delivery-kitchen-fort/order","35 min","Street Food, Fast Food, Chinese, Desserts, Beverages, Sichuan","Mumbai Express - The Delivery Kitchen","4.0","₹100 for one","1650+ orders placed from here recently","","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1650+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","40 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Bakery, Fast Food, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","32 min","https://www.zomato.com/mumbai/colaba-restaurants","Ice Cream, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","725+ orders placed from here recently","https://www.zomato.com/mumbai/birdys-tardeo/order","Birdy's","3.9","https://www.zomato.com/mumbai/kwality-walls-frozen-dessert-and-ice-cream-shop-3-girgaum/order","Kwality Wall’s Frozen Dessert and Ice Cream Shop","4.5","50% OFF up to 100","https://www.zomato.com/mumbai/rolls-bowls-company-churchgate/order","33 min","Rolls, North Indian, Chinese","Rolls & Bowls Company","4.1","₹100 for one","425+ orders placed from here recently","Restaurant partner follows WHO protocol","725+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","39 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Mithai, Mishti, Desserts, Gujarati, Street Food","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","33 min","https://www.zomato.com/mumbai/colaba-restaurants","Pasta, Italian, Pizza, Burger, Sandwich, Salad, Healthy Food","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/brijwasi-sweets-original-since-1946-gd-group-malabar-hill/order","Brijwasi Sweets, Original Since 1946 - GD Group","3.9","https://www.zomato.com/mumbai/smoke-house-deli-1-colaba/order","Smoke House Deli","4.5","50% OFF up to 100","https://www.zomato.com/mumbai/cream-centre-veg-bistro-chowpatty/order","41 min","North Indian, Chinese, Italian, Continental, Mexican, Lebanese, American, Beverages","Cream Centre - Veg Bistro","4.1","₹100 for one","1725+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","775+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1725+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","45 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Fast Food, South Indian, Chinese, Beverages, Street Food, Sandwich","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1925+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1925+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","33 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, South Indian, Chinese, Malwani, Kerala, Seafood, Mughlai, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","","800+ orders placed from here recently","https://www.zomato.com/mumbai/hotel-suprabhat-mazgaon/order","Hotel Suprabhat","3.9","https://www.zomato.com/mumbai/benzys-family-restaurant-cst/order","Benzy's Family Restaurant","3.8","50% OFF up to 100","https://www.zomato.com/mumbai/junos-pizza-by-eatfit-baking-fresh-since-1974-tardeo/order","42 min","Pizza, Fast Food","Juno's Pizza by EatFit - Baking Fresh Since 1974","3.8","₹150 for one","2300+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2300+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","38 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","Chinese, Momos","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","","1475+ orders placed from here recently","","Restaurant partner follows WHO protocol","","1475+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","27 min","https://www.zomato.com/mumbai/colaba-restaurants","Fast Food, Chinese, North Indian, Biryani, Mughlai, Shawarma","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1050+ orders placed from here recently","https://www.zomato.com/mumbai/dimsum-momo-express-1-fort/order","Dimsum Momo Express","3.9","https://www.zomato.com/mumbai/famous-restaurant-mohammad-ali-road/order","Famous Restaurant","4.0","50% OFF up to 100","https://www.zomato.com/mumbai/noto-healthy-ice-cream-breach-candy/order","36 min","Ice Cream, Mithai, Desserts","NOTO - Healthy Ice Cream","4.3","₹150 for one","700+ orders placed from here recently","","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","31 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Maharashtrian, South Indian, Street Food, North Indian, Ice Cream","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","2675+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","2675+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","30 min","https://www.zomato.com/mumbai/colaba-restaurants","North Indian, Chinese, Mangalorean, Biryani, Seafood, Mughlai, Desserts, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1375+ orders placed from here recently","https://www.zomato.com/mumbai/vinay-health-home-charni-road/order","Vinay Health Home","3.9","https://www.zomato.com/mumbai/liberty-lunch-home-marine-lines/order","Liberty Lunch Home","4.2","50% OFF up to 100","https://www.zomato.com/mumbai/maji-sagar-1-tardeo/order","43 min","Chinese, North Indian, South Indian","Maji Sagar","4.2","₹150 for one","4325+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","1375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","4325+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
"star-fill","star-fill","star-fill","50% OFF up to 100","44 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Cafe, Italian, Continental, Pizza, Burger, American, Pasta, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","1800+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","1800+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","35 min","https://www.zomato.com/mumbai/colaba-restaurants","Fast Food, Sandwich, Chinese, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹150 for one","https://www.zomato.com/mumbai/colaba-restaurants","3150+ orders placed from here recently","https://www.zomato.com/mumbai/grandmamas-cafe-kemps-corner/order","Grandmama's Cafe","4.0","https://www.zomato.com/mumbai/sanjay-vegetarian-corner-juice-center-girgaum/order","Sanjay Vegetarian Corner & Juice Center","4.0","50% OFF up to 100","https://www.zomato.com/mumbai/pure-veg-meals-by-lunchbox-tardeo/order","40 min","North Indian","Pure Veg Meals By LunchBox","3.6","₹150 for one","100+ orders placed from here recently","Restaurant partner follows WHO protocol","3150+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","29 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Mughlai, Malwani, Chinese, Biryani, North Indian, Maharashtrian, Sichuan","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","600+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","600+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","31 min","https://www.zomato.com/mumbai/colaba-restaurants","Gujarati, Rajasthani, Desserts","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","975+ orders placed from here recently","https://www.zomato.com/mumbai/jyothi-lunch-home-fort/order","Jyothi Lunch Home","4.2","https://www.zomato.com/mumbai/golden-star-thali-charni-road/order","Golden Star Thali","4.3","60% OFF","https://www.zomato.com/mumbai/samosa-singh-fort/order","29 min","North Indian, Street Food, Desserts, Beverages","Samosa Singh","2.8","₹100 for one","175+ orders placed from here recently","Follows all Max Safety measures to ensure your food is safe","975+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","","","","","","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","30 min","","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants","Pizza, Italian, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","https://www.zomato.com/mumbai/colaba-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/colaba-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/colaba-restaurants","31 min","https://www.zomato.com/mumbai/colaba-restaurants","Tea, Street Food, North Indian","https://www.zomato.com/mumbai/colaba-restaurants","₹100 for one","","100+ orders placed from here recently","https://www.zomato.com/mumbai/leancrust-pizza-thincrust-experts-1-colaba/order","LeanCrust Pizza- ThinCrust Experts","4.0","https://www.zomato.com/mumbai/sahyadri-tea-house-girgaum/order","Sahyadri Tea House","3.8","50% OFF up to 100","https://www.zomato.com/mumbai/gulshan-e-iran-cst/order","33 min","North Indian, BBQ, Mughlai, Chinese, Sandwich, Fast Food, Desserts, Beverages","Gulshan - E - Iran","4.1","₹100 for one","1375+ orders placed from here recently","","","","","","","https://www.zomato.com/mumbai/colaba-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/colaba-restaurants","1375+ orders placed from here recently","https://www.zomato.com/mumbai/colaba-restaurants","https://www.zomato.com/mumbai/colaba-restaurants",""
