"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hez2tp-0 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-s1isp7-5 src 13","sc-s1isp7-5 src 14","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 18","sc-1hez2tp-0 19","sc-s1isp7-5 src 16","sc-1hez2tp-0 20","sc-s1isp7-5 src 17","sc-1hez2tp-0 21","sc-s1isp7-5 src 18","sc-1hez2tp-0 22","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","43 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery","https://www.zomato.com/mumbai/powai-restaurants","₹350 for one","https://www.zomato.com/mumbai/powai-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3475+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","63 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Mughlai, Chinese, Biryani, Arabian, Kebab, Desserts, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹350 for one","https://www.zomato.com/mumbai/powai-restaurants","4675+ orders placed from here recently","Bakingo","3.7","Jaffer Bhai's Delhi Darbar","4.2","50% OFF up to 100","36 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Asian, Thai, Seafood, Sichuan","₹350 for one","5000+ orders placed from here recently","5 Spice","3.9","Follows all Max Safety measures to ensure your food is safe","5000+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/bakingo-chakala/order","https://www.zomato.com/mumbai/jaffer-bhais-delhi-darbar-jogeshwari/order","https://www.zomato.com/mumbai/5-spice-sakinaka/order",""
"star-fill","","star-fill","Pro extra 15% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","51 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Maharashtrian, Street Food, Malwani, Beverages, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹350 for one","https://www.zomato.com/mumbai/powai-restaurants","3125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","41 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Biryani, Mughlai, Seafood, Desserts, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹350 for one","https://www.zomato.com/mumbai/powai-restaurants","4075+ orders placed from here recently","Sangeeta's Kitchen","3.7","New Cafe Marol","","50% OFF up to 100","30 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Mughlai, Desserts, Beverages","₹350 for one","175+ orders placed from here recently","Itminaan Matka Biryani - Slow Cooked","4.1","Follows all Max Safety measures to ensure your food is safe","175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","4075+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/sangeetas-kitchen-chakala/order","https://www.zomato.com/mumbai/new-cafe-marol-1-marol/order","https://www.zomato.com/mumbai/itminaan-matka-biryani-slow-cooked-powai/order","3.4"
"star-fill","star-fill","star-fill","Pro extra 10% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","58 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Street Food, Fast Food, Sandwich, Biryani, Beverages, Shake","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","3125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","3125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","61 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","6200+ orders placed from here recently","Spukies - The Veg Sigree","4.0","Mao The Family Restaurant","4.0","50% OFF up to 100","32 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Bengali, Rolls, Biryani","₹200 for one","2175+ orders placed from here recently","Peetuk","3.8","Follows all Max Safety measures to ensure your food is safe","2175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","6200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/spukies-the-veg-sigree-versova/order","https://www.zomato.com/mumbai/mao-the-family-restaurant-azad-nagar/order","https://www.zomato.com/mumbai/peetuk-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","24 min","","Healthy Food, North Indian, Ice Cream, Desserts, Beverages","","₹200 for one","","7850+ orders placed from here recently","","","https://www.zomato.com/mumbai/powai-restaurants","","https://www.zomato.com/mumbai/powai-restaurants","38 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Mughlai, Chinese, Biryani, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","325+ orders placed from here recently","Home Plate by EatFit","3.6","The Combo Company","3.8","50% OFF up to 100","35 min","","","Rolls, Bengali, Biryani, Desserts","₹200 for one","750+ orders placed from here recently","Aahare Kolkata","3.9","","","","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/home-plate-by-eatfit-vikhroli/order","https://www.zomato.com/mumbai/the-combo-company-1-mahakali/order","https://www.zomato.com/mumbai/aahare-kolkata-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","31 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","2000+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2000+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","28 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Chinese, Biryani, Pasta, Burger, Pizza, Kebab","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1925+ orders placed from here recently","Bake Ur Day","3.7","Powai Social","3.9","50% OFF up to 100","51 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Lebanese, Chinese, Mughlai, North Indian, Rolls, Biryani, Beverages","₹200 for one","7050+ orders placed from here recently","Carter's Blue","4.1","Restaurant partner follows WHO protocol","7050+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/bake-ur-day-ghatkopar-west/order","https://www.zomato.com/mumbai/powai-social-1-powai/order","https://www.zomato.com/mumbai/carters-blue-near-andheri-east-station/order",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","42 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","5200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","5200+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","22 min","https://www.zomato.com/mumbai/powai-restaurants","Desserts, Continental, Salad, Fast Food, Shake, Pasta, Sandwich, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","975+ orders placed from here recently","Live Baker's","4.0","Poetry by Love and Cheesecake","4.2","50% OFF up to 100","25 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Healthy Food, Salad, Wraps, Fast Food, Juices, Beverages","₹200 for one","3175+ orders placed from here recently","Flax","4.3","Follows all Max Safety measures to ensure your food is safe","3175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/live-bakers-near-andheri-east-station/order","https://www.zomato.com/mumbai/poetry-by-love-and-cheesecake-2-powai/order","https://www.zomato.com/mumbai/flax-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","49 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Mughlai, North Indian, Fast Food, Biryani, Malwani, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","4375+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","4375+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","37 min","https://www.zomato.com/mumbai/powai-restaurants","Mithai, North Indian, Desserts, Sindhi","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","700+ orders placed from here recently","Naaz Restaurant","4.3","Chandu Halwai","4.1","50% OFF up to 100","34 min","","","Bakery, Desserts","₹200 for one","100+ orders placed from here recently","Bangalore Iyengar Bakery","4.0","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/naaz-restaurant-sakinaka/order","https://www.zomato.com/mumbai/chandu-halwai-ghatkopar-west/order","https://www.zomato.com/mumbai/bangalore-iyengar-bakery-vikhroli/order",""
"star-fill","","star-fill","Pro extra 20% OFF","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","40 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, Mughlai, Kebab, Chinese","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1800+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1800+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Currently not accepting orders","https://www.zomato.com/mumbai/powai-restaurants","Wraps, North Indian, Fast Food, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","400+ orders placed from here recently","New Food Inn","3.9","Mealful Rolls - India's Biggest Rolls","","50% OFF up to 100","59 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Mughlai, North Indian, Chinese, Biryani, Sichuan, Seafood, Shawarma, Desserts","₹200 for one","7025+ orders placed from here recently","Persia Darbar","4.0","Restaurant partner follows WHO protocol","7025+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","400+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/new-food-inn-marol/order","https://www.zomato.com/mumbai/mealful-rolls-indias-biggest-rolls-powai/order","https://www.zomato.com/mumbai/persia-darbar-jogeshwari/order","4.5"
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","","45 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Mughlai, Sichuan, Biryani","","₹200 for one","","275+ orders placed from here recently","","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","275+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","29 min","https://www.zomato.com/mumbai/powai-restaurants","Momos, Chinese, Asian","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","3275+ orders placed from here recently","Sabri Restaurant","3.5","The Momo Co.","","50% OFF up to 100","38 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Fast Food, Desserts, Beverages","₹200 for one","1775+ orders placed from here recently","Winners Pizza - Fresh Dough","3.6","Follows all Max Safety measures to ensure your food is safe","1775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","","","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/sabri-restaurant-jogeshwari/order","https://www.zomato.com/mumbai/the-momo-co-powai/order","https://www.zomato.com/mumbai/winners-pizza-fresh-dough-marol/order","3.5"
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","55 min","https://www.zomato.com/mumbai/powai-restaurants","Shawarma, Middle Eastern, Biryani, Fast Food","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","https://www.zomato.com/mumbai/powai-restaurants","1875+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1875+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","47 min","https://www.zomato.com/mumbai/powai-restaurants","Chinese, Fast Food, Kebab, North Indian, Seafood, Mughlai, Biryani, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹200 for one","","2975+ orders placed from here recently","Shawarma Factory","3.9","Urban Tadka","4.0","50% OFF up to 100","23 min","","","Shake, Beverages, Desserts","₹200 for one","2450+ orders placed from here recently","Keventers - Milkshakes & Desserts","3.9","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","2975+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/shawarma-factory-azad-nagar/order","https://www.zomato.com/mumbai/urban-tadka-sakinaka/order","https://www.zomato.com/mumbai/keventers-milkshakes-desserts-chandivali/order",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","25 min","https://www.zomato.com/mumbai/powai-restaurants","Rolls, Fast Food, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1500+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","47 min","https://www.zomato.com/mumbai/powai-restaurants","North Indian, South Indian, Chinese, Fast Food, Street Food, Desserts, Shake, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","2550+ orders placed from here recently","Rolls Mania","3.6","Shree Sadguru Veg Restaurant","4.1","50% OFF up to 100","53 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Chinese, North Indian, Mughlai, Fast Food, Biryani, Beverages, Sichuan","₹150 for one","5125+ orders placed from here recently","Cafe Arfa","4.1","Follows all Max Safety measures to ensure your food is safe","5125+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2550+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/rolls-mania-powai/order","https://www.zomato.com/mumbai/shree-sadguru-veg-restaurant-ghatkopar-east/order","https://www.zomato.com/mumbai/cafe-arfa-near-andheri-west-station/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","39 min","https://www.zomato.com/mumbai/powai-restaurants","Bengali, Biryani","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","1850+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","1850+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","21 min","https://www.zomato.com/mumbai/powai-restaurants","Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","75+ orders placed from here recently","Jamai Shoshthi","4.0","Havmor Ice Cream","4.2","50% OFF up to 100","42 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Momos, Asian, Fast Food, Rolls, Shake, Sichuan","₹150 for one","1275+ orders placed from here recently","Momo's Mealbox","3.5","Follows all Max Safety measures to ensure your food is safe","1275+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","","","","","","","","https://www.zomato.com/mumbai/jamai-shoshthi-sakinaka/order","https://www.zomato.com/mumbai/havmor-ice-cream-4-powai/order","https://www.zomato.com/mumbai/momos-mealbox-mahakali/order",""
"star-fill","star-fill","star-fill","Pro extra 10% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","58 min","https://www.zomato.com/mumbai/powai-restaurants","South Indian, Chinese, Fast Food, Street Food, Beverages, Shake","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","2700+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2700+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","36 min","https://www.zomato.com/mumbai/powai-restaurants","Beverages, Shake, Desserts, Ice Cream","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","650+ orders placed from here recently","Anand Stall","3.9","Frozen Bottle - Milkshakes, Desserts and Ice Cream","3.9","50% OFF up to 100","24 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Mexican","₹150 for one","3725+ orders placed from here recently","Maiz Mexican Kitchen","4.1","Follows all Max Safety measures to ensure your food is safe","3725+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Free Creamy Vanilla Scoop","","","","","","","https://www.zomato.com/mumbai/anand-stall-vile-parle-east/order","https://www.zomato.com/mumbai/frozen-bottle-milkshakes-desserts-and-ice-cream-marol/order","https://www.zomato.com/mumbai/maiz-mexican-kitchen-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","37 min","https://www.zomato.com/mumbai/powai-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","56 min","https://www.zomato.com/mumbai/powai-restaurants","Shawarma, Momos","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","6250+ orders placed from here recently","7th Heaven","4.0","Royal Shawarma","4.6","50% OFF up to 100","32 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","Pizza, Italian, Bakery","₹150 for one","1950+ orders placed from here recently","PizzaExpress","3.5","Follows all Max Safety measures to ensure your food is safe","1950+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","6250+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/7th-heaven-marol/order","https://www.zomato.com/mumbai/royal-shawarma-near-andheri-west-station/order","https://www.zomato.com/mumbai/pizzaexpress-powai/order",""
"star-fill","star-fill","star-fill","","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","58 min","https://www.zomato.com/mumbai/powai-restaurants","Sandwich, Fast Food, Beverages, Desserts, Ice Cream, Sichuan","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","24 min","https://www.zomato.com/mumbai/powai-restaurants","Cafe, Fast Food, Coffee, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","1425+ orders placed from here recently","Mumbai Central Juice & Snacks Centre","3.9","Cafe Coffee Day","3.9","50% OFF up to 100","59 min","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","BBQ, Chinese, Continental, North Indian, Kebab, Seafood, Mughlai, Sichuan","₹150 for one","3000+ orders placed from here recently","Delhi Zaika","3.8","Restaurant partner follows WHO protocol","3000+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","50% OFF up to 100","","","","","","","https://www.zomato.com/mumbai/mumbai-central-juice-snacks-centre-jogeshwari/order","https://www.zomato.com/mumbai/cafe-coffee-day-2-powai/order","https://www.zomato.com/mumbai/delhi-zaika-jogeshwari/order",""
"star-fill","star-fill","star-fill","Pro extra 15% OFF","50% OFF up to 100","","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","35 min","https://www.zomato.com/mumbai/powai-restaurants","Waffle, Bakery, Ice Cream, Desserts, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","2525+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","2525+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","41 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, North Indian, Mughlai","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","","2250+ orders placed from here recently","New York Waffles & Dinges","3.6","Nayaab Biryani","4.2","50% OFF up to 100","29 min","","","Tea, Beverages, Shake, Fast Food, Rolls, Desserts, Coffee","₹150 for one","2600+ orders placed from here recently","Chai Point","3.9","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","2250+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/new-york-waffles-dinges-marol/order","https://www.zomato.com/mumbai/nayaab-biryani-sakinaka/order","https://www.zomato.com/mumbai/chai-point-vikhroli/order",""
"star-fill","","star-fill","","50% OFF up to 100","star-fill","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","30 min","https://www.zomato.com/mumbai/powai-restaurants","Biryani, Hyderabadi, Andhra, North Indian, Mughlai","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/powai-restaurants","775+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","59 min","https://www.zomato.com/mumbai/powai-restaurants","Fast Food, Beverages","https://www.zomato.com/mumbai/powai-restaurants","₹150 for one","","175+ orders placed from here recently","Biryani Badshah","3.9","Al-Baik.Com","","50% OFF up to 100","53 min","","","Desserts, Beverages","₹150 for one","8900+ orders placed from here recently","Baba Falooda","4.3","","","","50% OFF up to 100","https://www.zomato.com/mumbai/powai-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/powai-restaurants","175+ orders placed from here recently","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/powai-restaurants","https://www.zomato.com/mumbai/biryani-badshah-2-vikhroli/order","https://www.zomato.com/mumbai/al-baik-com-kurla/order","https://www.zomato.com/mumbai/baba-falooda-jogeshwari/order","3.2"
