"sc-rbbb40-0","sc-rbbb40-0 2","sc-rbbb40-0 3","sc-1hez2tp-0","sc-1hez2tp-0 2","sc-rbbb40-0 4","sc-s1isp7-5 src","sc-s1isp7-5 src 2","sc-s1isp7-5 src 3","sc-1hez2tp-0 3","sc-s1isp7-5 src 4","sc-1hez2tp-0 4","sc-s1isp7-5 src 5","sc-1hez2tp-0 5","sc-s1isp7-5 src 6","sc-1hez2tp-0 6","sc-s1isp7-5 src 7","sc-1hez2tp-0 7","sc-s1isp7-5 src 8","sc-1hez2tp-0 8","sc-s1isp7-5 src 9","sc-1hez2tp-0 9","sc-s1isp7-5 src 10","sc-1hez2tp-0 10","sc-s1isp7-5 src 11","sc-1hez2tp-0 11","sc-s1isp7-5 src 12","sc-1hp8d8a-0","sc-1q7bklc-1","sc-1hp8d8a-0 2","sc-1q7bklc-1 2","sc-1hez2tp-0 13","sc-1hez2tp-0 14","sc-1hp8d8a-0 3","sc-1q7bklc-1 3","sc-1hez2tp-0 15","sc-1hez2tp-0 16","sc-1hez2tp-0 17","sc-1hez2tp-0 18","sc-s1isp7-5 src 13","sc-1hez2tp-0 19","sc-s1isp7-5 src 14","sc-s1isp7-5 src 15","sc-s1isp7-5 src 16","sc-s1isp7-5 src 17","sc-s1isp7-5 src 18","sc-1hez2tp-0 21","sc-s1isp7-5 src 19","sc-s1isp7-5 src 20","sc-s1isp7-5 src 21","sc-jGFFOr href","sc-jGFFOr href 2","sc-jGFFOr href 3","sc-1q7bklc-1 4","sc-1hez2tp-0 22"
"star-fill","star-fill","star-fill","50% OFF up to 100","53 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","North Indian, Biryani, Chinese, Mughlai, Rolls, Sichuan","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","","1050+ orders placed from here recently","","Restaurant partner follows WHO protocol","","1050+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","40 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","South Indian, Fast Food, North Indian, Chinese, Street Food, Maharashtrian, Beverages","","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chawlas²","3.8","Udupi 2 Mumbai","4.0","","","Cafe Irani Chaii","4.2","50% OFF up to 100","28 min","Rolls, Street Food, Fast Food, Parsi","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","3100+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","3100+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/chawlas-chembur/order","https://www.zomato.com/mumbai/udupi-2-mumbai-1-vile-parle-east/order","https://www.zomato.com/mumbai/cafe-irani-chaii-mahim/order","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","32 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Street Food","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹150 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2375+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2375+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","48 min","","Mithai, Street Food, Gujarati","","₹150 for one","","Shree Nathji Pav Bhaji Center","4.0","Kandoi Haribhai Damodar Mithaiwala","3.5","","","Gopal Krishna","4.2","50% OFF up to 100","48 min","North Indian, South Indian, Mughlai, Chinese, Fast Food, Desserts, Beverages","₹150 for one","","1200+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1200+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/shree-nathji-pav-bhaji-center-near-andheri-east-station/order","https://www.zomato.com/mumbai/kandoi-haribhai-damodar-mithaiwala-chembur/order","https://www.zomato.com/mumbai/gopal-krishna-chakala/order","",""
"star-fill","star-fill","","50% OFF up to 100","20 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Bakery, Desserts","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","27 min","","Bakery","","₹350 for one","","Zinque Patisserie","4.0","Sweet County","4.3","","","Gelato Vinto","","50% OFF up to 100","70 min","Ice Cream, Desserts","₹350 for one","","","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","","https://www.zomato.com/mumbai/zinque-patisserie-khar/order","https://www.zomato.com/mumbai/sweet-county-carter-road-bandra-west/order","https://www.zomato.com/mumbai/gelato-vinto-kurla/order","4.2",""
"star-fill","star-fill","star-fill","50% OFF up to 100","64 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","Chinese, Momos, Asian, Sushi, Thai","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹350 for one","","2025+ orders placed from here recently","","Restaurant partner follows WHO protocol","","2025+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","31 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chinese, Asian, Thai, Sichuan, Seafood, Desserts","","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Dimsum Wū","3.9","China Gate","4.0","","","Punjab Sweet House","4.4","50% OFF up to 100","38 min","Street Food, Mithai, Bakery","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","4125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","4125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/dimsum-w-chembur/order","https://www.zomato.com/mumbai/china-gate-1-linking-road-bandra-west/order","https://www.zomato.com/mumbai/punjab-sweet-house-pali-hill-bandra-west/order","",""
"star-fill","star-fill","star-fill","50% OFF up to 100","30 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Burger, Fast Food, Beverages, Wraps, Shake, Sichuan","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2125+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","28 min","","North Indian, South Indian, Chinese, Street Food, Fast Food, Beverages, Shake, Sichuan","","₹350 for one","","Bombay Burgers","3.7","Hotel Vihar","4.0","","","Sarovar","4.2","50% OFF up to 100","45 min","South Indian, Street Food, North Indian, Chinese, Fast Food, Beverages, Shake, Sichuan","₹350 for one","","850+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","850+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/bombay-burgers-carter-road-bandra-west/order","https://www.zomato.com/mumbai/hotel-vihar-santacruz-east/order","https://www.zomato.com/mumbai/sarovar-near-andheri-east-station/order","",""
"star-fill","","star-fill","50% OFF up to 100","27 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Sindhi, North Indian, Chinese","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2950+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","2950+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","36 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Burger, Fast Food, American, Finger Food, Desserts, Beverages, Continental","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Sindhful","4.1","Boss Burger","","Follows all Max Safety measures to ensure your food is safe","300+ orders placed from here recently","Made Of Milk","4.0","50% OFF up to 100","20 min","Mithai, Desserts","₹350 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","100+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","https://www.zomato.com/mumbai/sindhful-khar/order","https://www.zomato.com/mumbai/boss-burger-carter-road-bandra-west/order","https://www.zomato.com/mumbai/made-of-milk-khar/order","4.2",""
"star-fill","","star-fill","50% OFF up to 100","26 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Bakery, Desserts, Ice Cream","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","75+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","48 min","","Fast Food, Momos, South Indian, Chinese, Desserts, Beverages","","₹300 for one","","Gourmet Ice Cream Cakes by Baskin Robbins","3.9","Amar Veg Restaurant","","","","Smokin' Joe's","3.8","50% OFF up to 100","41 min","Pizza, Sandwich, Fast Food","₹300 for one","","475+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","475+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/gourmet-ice-cream-cakes-by-baskin-robbins-1-bandra-east/order","https://www.zomato.com/mumbai/amar-veg-restaurant-near-andheri-west-station/order","https://www.zomato.com/mumbai/smokin-joes-vile-parle-east/order","4.2",""
"star-fill","","star-fill","50% OFF up to 100","53 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","North Indian, Malwani, Maharashtrian, Biryani","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Restaurant partner follows WHO protocol","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","700+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","38 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Street Food, Fast Food, Sandwich, Panini","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Hotel Mauli","3.9","Gupta Chat Centre","","Follows all Max Safety measures to ensure your food is safe","3250+ orders placed from here recently","The Bombay Curry","4.2","50% OFF up to 100","25 min","North Indian, Biryani, Kebab, Rolls, Mughlai, Lucknowi, Awadhi","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1200+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1200+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hotel-mauli-wadala/order","https://www.zomato.com/mumbai/gupta-chat-centre-matunga-east/order","https://www.zomato.com/mumbai/the-bombay-curry-3-khar/order","4.3",""
"star-fill","","star-fill","50% OFF up to 100","25 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Cafe, Italian, Desserts, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1025+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1025+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","45 min","","Chinese, North Indian, South Indian, Fast Food, Desserts, Beverages","","₹300 for one","","Coffee By Di Bella","3.8","Maharana Kamath","","","","Cafe Mysore","4.1","50% OFF up to 100","39 min","South Indian, North Indian, Sandwich, Street Food, Desserts, Beverages","₹300 for one","","2750+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","","","","","","","https://www.zomato.com/mumbai/coffee-by-di-bella-hill-road-bandra-west/order","https://www.zomato.com/mumbai/maharana-kamath-chembur/order","https://www.zomato.com/mumbai/cafe-mysore-matunga-east/order","4.1",""
"star-fill","","star-fill","50% OFF up to 100","58 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Mithai, Street Food","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹300 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1100+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1100+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","35 min","","Ice Cream, Desserts","","₹300 for one","","Morbiwala Sweets And Farsan Mart","4.1","Vadilal Ice Cream","","","","The Serial Griller","4.1","50% OFF up to 100","25 min","Burger, Fast Food, American, Beverages","₹300 for one","","1325+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1325+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/morbiwala-sweets-and-farsan-mart-ghatkopar-east/order","https://www.zomato.com/mumbai/vadilal-ice-cream-vile-parle-east/order","https://www.zomato.com/mumbai/the-serial-griller-khar/order","4.1",""
"star-fill","star-fill","star-fill","50% OFF up to 100","16 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Healthy Food, Beverages, Mediterranean, Burger, Desserts, Wraps, Pizza, Salad","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","150+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","150+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","35 min","","Waffle, Desserts, Pancake, Beverages, Shake","","₹250 for one","","HRX by EatFit","4.0","Wack Waffles & Brownies","3.5","","","Keventers Ice Cream","3.9","50% OFF up to 100","68 min","Ice Cream, Desserts","₹250 for one","","50+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/hrx-by-eatfit-khar/order","https://www.zomato.com/mumbai/wack-waffles-brownies-khar/order","https://www.zomato.com/mumbai/keventers-ice-cream-kurla/order","","Pro extra 15% OFF"
"star-fill","","star-fill","50% OFF up to 100","26 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Pizza, Burger, Italian, Fast Food, Chinese, Salad, Sichuan","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","725+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","725+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","30% OFF","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","15 min","","Bakery, Ice Cream, Shake, Desserts","","₹250 for one","","Mama Mia!","4.0","Mahabi Cakes Desserts Gelato","","","","Speak Burgers by Vicky Ratnani","3.9","50% OFF up to 100","29 min","Burger, Fast Food","₹250 for one","","575+ orders placed from here recently","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","575+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/mama-mia-1-hill-road-bandra-west/order","https://www.zomato.com/mumbai/mahabi-cakes-desserts-gelato-hill-road-bandra-west/order","https://www.zomato.com/mumbai/speak-burgers-by-vicky-ratnani-pali-hill-bandra-west/order","4.3",""
"star-fill","","star-fill","50% OFF up to 100","43 min","star-fill","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chinese, Continental, Italian, North Indian, Mughlai, Fast Food, Beverages","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1400+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","47 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","North Indian, South Indian, Street Food, Maharashtrian","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Shabri Restaurant And Bar","3.7","Tiffins By Sam","","Follows all Max Safety measures to ensure your food is safe","725+ orders placed from here recently","Nimantran Gujarati Thali Restaurant","3.8","50% OFF up to 100","70 min","Gujarati","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","200+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/shabri-restaurant-and-bar-vile-parle-east/order","https://www.zomato.com/mumbai/tiffins-by-sam-kurla/order","https://www.zomato.com/mumbai/nimantran-gujarati-thali-restaurant-vile-parle-east/order","4.2",""
"star-fill","star-fill","star-fill","50% OFF up to 100","45 min","","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","North Indian, Maharashtrian, Chinese, Mughlai, Biryani, Sandwich, Sichuan","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Follows all Max Safety measures to ensure your food is safe","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","325+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","50% OFF up to 100","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","64 min","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Chinese, North Indian, Biryani, Sichuan","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","Mahesh Fine Dining","3.8","Afzal","3.6","Restaurant partner follows WHO protocol","300+ orders placed from here recently","Royal China","4.3","50% OFF up to 100","40 min","Chinese, Asian, Cantonese, Seafood, Desserts","₹250 for one","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1975+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","1975+ orders placed from here recently","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/linking-road-bandra-west-restaurants","https://www.zomato.com/mumbai/mahesh-fine-dining-santacruz-east/order","https://www.zomato.com/mumbai/afzal-1-chembur/order","https://www.zomato.com/mumbai/royal-china-hill-road-bandra-west/order","",""
